Mod:Item:MetaData, Localized Name
hbm:tile.block_fiberglass, Roll of Fiberglass
hbm:tile.block_asbestos, Block of Asbestos
hbm:tile.block_trinitite, Block of Trinitite
hbm:tile.block_waste, Block of Nuclear Waste
hbm:tile.block_waste_painted, Painted Block of Nuclear Waste
hbm:tile.block_waste_vitrified, Vitrified Block of Nuclear Waste
hbm:tile.ancient_scrap, Ancient Scrap Metal
hbm:tile.block_corium, Corium
hbm:tile.block_corium_cobble, Corebblestone
hbm:tile.block_schraranium, Block of Schraranium
hbm:tile.block_schrabidium, Block of Schrabidium
hbm:tile.block_schrabidate, Block of Ferric Schrabidate
hbm:tile.block_solinium, Block of Solinium
hbm:tile.block_schrabidium_fuel, Block of Schrabidium Fuel
hbm:tile.block_euphemium, Block of Euphemium
hbm:tile.block_schrabidium_cluster, Schrabidium Cluster
hbm:tile.block_euphemium_cluster, Euphemium-Etched Schrabidium Cluster
hbm:tile.block_dineutronium, Block of Dineutronium
hbm:tile.block_magnetized_tungsten, Block of Magnetized Tungsten
hbm:tile.block_combine_steel, Block of CMB Steel
hbm:tile.block_desh, Reinforced Block of Desh
hbm:tile.block_dura_steel, Reinforced Block of High-Speed Steel
hbm:tile.block_starmetal, §9Block of Starmetal§r
hbm:tile.block_polymer, Block of Polymer
hbm:tile.block_bakelite, Block of Bakelite
hbm:tile.block_rubber, Block of Rubber
hbm:tile.block_australium, Block of Australium
hbm:tile.block_weidanium, Block of Weidanium
hbm:tile.block_reiium, Block of Reiium
hbm:tile.block_unobtainium, Block of Unobtainium
hbm:tile.block_daffergon, Block of Daffergon
hbm:tile.block_verticium, Block of Verticium
hbm:tile.block_lanthanium, Block of Lanthanium
hbm:tile.block_ra226, Block of Radium-226
hbm:tile.block_actinium, Block of Actinium
hbm:tile.block_tritium, Block of Tritium Cells
hbm:tile.block_semtex, Block of Semtex
hbm:tile.block_c4, Block of C-4
hbm:tile.block_smore, Block of S'more
hbm:tile.block_cap_nuka, Block of Nuka Cola Bottle Caps
hbm:tile.block_cap_quantum, Block of Nuka Cola Quantum Bottle Caps
hbm:tile.block_cap_rad, Block of S~Cola RAD Bottle Caps
hbm:tile.block_cap_sparkle, Block of S~Cola Bottle Caps
hbm:tile.block_cap_korl, Block of Korl Bottle Caps
hbm:tile.block_cap_fritz, Block of Fritz Cola Bottle Caps
hbm:tile.block_cap_sunset, Block of Sunset Sarsaparilla Bottle Caps
hbm:tile.block_cap_star, Block of Sunset Sarsaparilla Star Caps
hbm:tile.deco_titanium, Titanium Deco Block
hbm:tile.deco_red_copper, Red Copper Deco Block
hbm:tile.deco_tungsten, Tungsten Deco Block
hbm:tile.deco_aluminium, Aluminium Deco Block
hbm:tile.deco_steel, Steel Deco Block
hbm:tile.deco_lead, Lead Deco Block
hbm:tile.deco_beryllium, Beryllium Deco Block
hbm:tile.deco_asbestos, Asbestos Roof
hbm:tile.deco_emitter, Deco Light Emitter
hbm:tile.deco_loot, tile.deco_loot.name
hbm:tile.bobblehead:1, Bobblehead
hbm:tile.bobblehead:2, Bobblehead
hbm:tile.bobblehead:3, Bobblehead
hbm:tile.bobblehead:4, Bobblehead
hbm:tile.bobblehead:5, Bobblehead
hbm:tile.bobblehead:6, Bobblehead
hbm:tile.bobblehead:7, Bobblehead
hbm:tile.bobblehead:8, Bobblehead
hbm:tile.bobblehead:9, Bobblehead
hbm:tile.bobblehead:10, Bobblehead
hbm:tile.bobblehead:11, Bobblehead
hbm:tile.bobblehead:12, Bobblehead
hbm:tile.bobblehead:13, Bobblehead
hbm:tile.bobblehead:14, Bobblehead
hbm:tile.bobblehead:15, Bobblehead
hbm:tile.bobblehead:16, Bobblehead
hbm:tile.bobblehead:17, Bobblehead
hbm:tile.bobblehead:18, Bobblehead
hbm:tile.bobblehead:19, Bobblehead
hbm:tile.bobblehead:20, Bobblehead
hbm:tile.hazmat, Hazmat Cloth Block
hbm:tile.deco_rbmk, RBMK Deco Block
hbm:tile.deco_rbmk_smooth, Smooth RBMK Deco Block
hbm:tile.gravel_obsidian, Crushed Obsidian
hbm:tile.gravel_diamond, Diamond Gravel
hbm:tile.lamp_tritium_green_off, Green Tritium Lamp
hbm:tile.lamp_tritium_green_on, Green Tritium Lamp
hbm:tile.lamp_tritium_blue_off, Blue Tritium Lamp
hbm:tile.lamp_tritium_blue_on, Blue Tritium Lamp
hbm:tile.lamp_uv_off, tile.lamp_uv_off.name
hbm:tile.lamp_uv_on, tile.lamp_uv_on.name
hbm:tile.lamp_demon, Demon Core Lamp
hbm:tile.asphalt, Asphalt
hbm:tile.asphalt_light, Glowing Asphalt
hbm:tile.reinforced_brick, Reinforced Stone
hbm:tile.reinforced_glass, Reinforced Glass
hbm:tile.reinforced_light, Reinforced Glowstone
hbm:tile.reinforced_sand, Reinforced Sandstone
hbm:tile.reinforced_lamp_off, Reinforced Lamp
hbm:tile.reinforced_lamp_on, Reinforced Lamp
hbm:tile.reinforced_stone, Dense Stone
hbm:tile.reinforced_ducrete, Reinforced Ducrete
hbm:tile.concrete_smooth, Concrete
hbm:tile.concrete_colored:0, White Concrete
hbm:tile.concrete_colored:1, Orange Concrete
hbm:tile.concrete_colored:2, Magenta Concrete
hbm:tile.concrete_colored:3, Light Blue Concrete
hbm:tile.concrete_colored:4, Yellow Concrete
hbm:tile.concrete_colored:5, Lime Concrete
hbm:tile.concrete_colored:6, Pink Concrete
hbm:tile.concrete_colored:7, Gray Concrete
hbm:tile.concrete_colored:8, Light Gray Concrete
hbm:tile.concrete_colored:9, Cyan Concrete
hbm:tile.concrete_colored:10, Purple Concrete
hbm:tile.concrete_colored:11, Blue Concrete
hbm:tile.concrete_colored:12, Brown Concrete
hbm:tile.concrete_colored:13, Green Concrete
hbm:tile.concrete_colored:14, Red Concrete
hbm:tile.concrete_colored:15, Black Concrete
hbm:tile.concrete, Concrete Tile
hbm:tile.concrete_asbestos, Asbestos Concrete
hbm:tile.concrete_super, Über Concrete
hbm:tile.concrete_super_broken, Moldy Debris
hbm:tile.ducrete_smooth, Ducrete
hbm:tile.ducrete, Ducrete Tile
hbm:tile.concrete_pillar, Rebar Reinforced Concrete Pillar
hbm:tile.brick_concrete, Concrete Bricks
hbm:tile.brick_concrete_mossy, Mossy Concrete Bricks
hbm:tile.brick_concrete_cracked, Cracked Concrete Bricks
hbm:tile.brick_concrete_broken, Broken Concrete Bricks
hbm:tile.brick_concrete_marked, Marked Concrete Bricks
hbm:tile.brick_ducrete, Ducrete Bricks
hbm:tile.brick_obsidian, Obsidian Bricks
hbm:tile.brick_compound, Compound Mesh
hbm:tile.brick_light, Light Bricks
hbm:tile.brick_asbestos, Asbestos Bricks
hbm:tile.cmb_brick, CMB Steel Tile
hbm:tile.cmb_brick_reinforced, Reinforced CMB Bricks
hbm:tile.tile_lab, Laboratory Tiles
hbm:tile.tile_lab_cracked, Cracked Laboratory Tiles
hbm:tile.tile_lab_broken, Broken Laboratory Tiles
hbm:tile.barbed_wire, Barbed Wire
hbm:tile.barbed_wire_fire, Flaming Barbed Wire
hbm:tile.barbed_wire_poison, Poisoned Barbed Wire
hbm:tile.barbed_wire_acid, Caustic Barbed Wire
hbm:tile.barbed_wire_wither, Withered Barbed Wire
hbm:tile.barbed_wire_ultradeath, Cloud Barbed Wire
hbm:tile.spikes, Spikes
hbm:tile.tesla, Tesla Coil
hbm:tile.charger, Charging Station
hbm:tile.siege_shield, tile.siege_shield.name
hbm:tile.siege_internal, tile.siege_internal.name
hbm:tile.siege_circuit, tile.siege_circuit.name
hbm:tile.siege_emergency, tile.siege_emergency.name
hbm:tile.siege_hole, tile.siege_hole.name
hbm:tile.block_meteor, Meteorite Block
hbm:tile.block_meteor_cobble, Meteorite Cobblestone
hbm:tile.block_meteor_broken, Broken Meteorite Block
hbm:tile.block_meteor_molten, Hot Meteorite Cobblestone
hbm:tile.block_meteor_treasure, Meteorite Treasure Block
hbm:tile.meteor_polished, Polished Meteor Block
hbm:tile.meteor_brick, Meteor Bricks
hbm:tile.meteor_brick_mossy, Mossy Meteor Bricks
hbm:tile.meteor_brick_cracked, Cracked Meteor Bricks
hbm:tile.meteor_brick_chiseled, Chiseled Meteor Bricks
hbm:tile.meteor_pillar, Meteor Pillar
hbm:tile.meteor_spawner, Cyber Crab Assembler
hbm:tile.meteor_battery, Starmetal Static Electricity Generator
hbm:tile.brick_jungle, Enargite Bricks
hbm:tile.brick_jungle_cracked, Cracked Enargite Bricks
hbm:tile.brick_jungle_fragile, Brittle Enargite Bricks
hbm:tile.brick_jungle_lava, Magmatic Enargite Bricks
hbm:tile.brick_jungle_ooze, Radioactive Enargite Bricks
hbm:tile.brick_jungle_mystic, Arcane Enargite Bricks
hbm:tile.brick_jungle_trap:0, Trapped Enargite Bricks
hbm:tile.brick_jungle_trap:1, Trapped Enargite Bricks
hbm:tile.brick_jungle_trap:2, Trapped Enargite Bricks
hbm:tile.brick_jungle_trap:3, Trapped Enargite Bricks
hbm:tile.brick_jungle_trap:4, Trapped Enargite Bricks
hbm:tile.brick_jungle_trap:5, Trapped Enargite Bricks
hbm:tile.brick_jungle_trap:6, Trapped Enargite Bricks
hbm:tile.brick_jungle_trap:7, Trapped Enargite Bricks
hbm:tile.brick_jungle_trap:8, Trapped Enargite Bricks
hbm:tile.brick_jungle_trap:9, Trapped Enargite Bricks
hbm:tile.brick_jungle_trap:10, Trapped Enargite Bricks
hbm:tile.brick_jungle_trap:11, Trapped Enargite Bricks
hbm:tile.brick_jungle_trap:12, Trapped Enargite Bricks
hbm:tile.brick_jungle_trap:13, Trapped Enargite Bricks
hbm:tile.brick_jungle_trap:14, Trapped Enargite Bricks
hbm:tile.brick_jungle_glyph:0, Enargite Glyph Bricks
hbm:tile.brick_jungle_glyph:1, Enargite Glyph Bricks
hbm:tile.brick_jungle_glyph:2, Enargite Glyph Bricks
hbm:tile.brick_jungle_glyph:3, Enargite Glyph Bricks
hbm:tile.brick_jungle_glyph:4, Enargite Glyph Bricks
hbm:tile.brick_jungle_glyph:5, Enargite Glyph Bricks
hbm:tile.brick_jungle_glyph:6, Enargite Glyph Bricks
hbm:tile.brick_jungle_glyph:7, Enargite Glyph Bricks
hbm:tile.brick_jungle_glyph:8, Enargite Glyph Bricks
hbm:tile.brick_jungle_glyph:9, Enargite Glyph Bricks
hbm:tile.brick_jungle_glyph:10, Enargite Glyph Bricks
hbm:tile.brick_jungle_glyph:11, Enargite Glyph Bricks
hbm:tile.brick_jungle_glyph:12, Enargite Glyph Bricks
hbm:tile.brick_jungle_glyph:13, Enargite Glyph Bricks
hbm:tile.brick_jungle_glyph:14, Enargite Glyph Bricks
hbm:tile.brick_jungle_glyph:15, Enargite Glyph Bricks
hbm:tile.brick_jungle_circle, Mechanist's Circle
hbm:tile.brick_dungeon, Berzelianite Bricks
hbm:tile.brick_dungeon_flat, Berzelianite Block
hbm:tile.brick_dungeon_tile, Berzelianite Tile
hbm:tile.brick_dungeon_circle, Berzelianite Cirlce
hbm:tile.brick_forgotten, tile.brick_forgotten.name
hbm:tile.tape_recorder, Tape Recorder
hbm:tile.steel_poles, Steel Pole
hbm:tile.pole_top, Antenna Top
hbm:tile.pole_satellite_receiver, Satellite Dish
hbm:tile.steel_wall, Steel Wall
hbm:tile.steel_corner, Steel Wall Corner
hbm:tile.steel_roof, Flat Steel Roof
hbm:tile.steel_beam, Steel Beam
hbm:tile.steel_scaffold, Steel Scaffold
hbm:tile.steel_grate, Steel Grate
hbm:tile.deco_pipe, Steel Pipe
hbm:tile.deco_pipe_rusted, Rusty Steel Pipe
hbm:tile.deco_pipe_green, Green Steel Pipe
hbm:tile.deco_pipe_green_rusted, Rusty Green Steel Pipe
hbm:tile.deco_pipe_red, Red Steel Pipe
hbm:tile.deco_pipe_marked, Gas Pipe
hbm:tile.deco_pipe_rim, Steel Pipe (Rimmed)
hbm:tile.deco_pipe_rim_rusted, Rusty Steel Pipe (Rimmed)
hbm:tile.deco_pipe_rim_green, Green Steel Pipe (Rimmed)
hbm:tile.deco_pipe_rim_green_rusted, Rusty Green Steel Pipe (Rimmed)
hbm:tile.deco_pipe_rim_red, Red Steel Pipe (Rimmed)
hbm:tile.deco_pipe_rim_marked, Gas Pipe (Rimmed)
hbm:tile.deco_pipe_framed, Steel Pipe (Framed)
hbm:tile.deco_pipe_framed_rusted, Rusty Steel Pipe (Framed)
hbm:tile.deco_pipe_framed_green, Green Steel Pipe (Framed)
hbm:tile.deco_pipe_framed_green_rusted, Rusty Green Steel Pipe (Framed)
hbm:tile.deco_pipe_framed_red, Red Steel Pipe (Framed)
hbm:tile.deco_pipe_framed_marked, Gas Pipe (Framed)
hbm:tile.deco_pipe_quad, Steel Pipes
hbm:tile.deco_pipe_quad_rusted, Rusty Steel Pipes
hbm:tile.deco_pipe_quad_green, Green Steel Pipes
hbm:tile.deco_pipe_quad_green_rusted, Rusty Green Steel Pipes
hbm:tile.deco_pipe_quad_red, Red Steel Pipes
hbm:tile.deco_pipe_quad_marked, Gas Pipes
hbm:tile.plant_flower:0, Foxglove
hbm:tile.plant_flower:1, Tobacco Plant
hbm:tile.plant_flower:2, Deadly Nightshade
hbm:tile.plant_flower:3, Hemp
hbm:tile.mush, Glowing Mushroom
hbm:tile.mush_block, tile.mush_block.name
hbm:tile.mush_block_stem, tile.mush_block_stem.name
hbm:tile.moon_turf, Moon Turf
hbm:tile.waste_earth, Dead Grass
hbm:tile.waste_mycelium, Glowing Mycelium
hbm:tile.waste_trinitite, Trinitite Ore
hbm:tile.waste_trinitite_red, Red Trinitite Ore
hbm:tile.waste_log, Charred Log
hbm:tile.waste_leaves, Dead Leaves
hbm:tile.waste_planks, Charred Wooden Planks
hbm:tile.frozen_grass, Frozen Grass
hbm:tile.frozen_dirt, Frozen Dirt
hbm:tile.frozen_log, Frozen Log
hbm:tile.frozen_planks, Frozen Planks
hbm:tile.dirt_dead, Dead Dirt
hbm:tile.dirt_oily, Oily Dirt
hbm:tile.sand_dirty, Oily Sand
hbm:tile.sand_dirty_red, Red Oily Sand
hbm:tile.stone_cracked, Cracked Stone
hbm:tile.fallout, Fallout
hbm:tile.foam_layer, Foam layer
hbm:tile.sand_boron_layer, Boron Sand Layer
hbm:tile.leaves_layer, Fallen Leaves
hbm:tile.burning_earth, Burning Grass
hbm:tile.tektite, Tektite
hbm:tile.ore_tektite_osmiridium, Osmiridium-Infused Tektite
hbm:tile.impact_dirt, tile.impact_dirt.name
hbm:tile.sellafield_slaked, Slaked Sellafite
hbm:tile.sellafield:0, Sellafite
hbm:tile.sellafield:1, Hot Sellafite
hbm:tile.sellafield:2, Boiling Sellafite
hbm:tile.sellafield:3, Blazing Sellafite
hbm:tile.sellafield:4, Infernal Sellafite
hbm:tile.sellafield:5, Sellafite-Corium
hbm:tile.geysir_water, tile.geysir_water.name
hbm:tile.geysir_chlorine, tile.geysir_chlorine.name
hbm:tile.geysir_vapor, tile.geysir_vapor.name
hbm:tile.geysir_nether, tile.geysir_nether.name
hbm:tile.nuke_gadget, The Gadget
hbm:tile.nuke_boy, Little Boy
hbm:tile.nuke_man, Fat Man
hbm:tile.nuke_mike, Ivy Mike
hbm:tile.nuke_tsar, Tsar Bomba
hbm:tile.nuke_prototype, The Prototype
hbm:tile.nuke_fleija, F.L.E.I.J.A.
hbm:tile.nuke_solinium, The Blue Rinse
hbm:tile.nuke_n2, N² Mine
hbm:tile.nuke_n45, N45 Naval Mine
hbm:tile.nuke_fstbmb, Balefire Bomb
hbm:tile.nuke_custom, Custom Nuke
hbm:tile.bomb_multi, Multi Purpose Bomb
hbm:tile.crashed_bomb, Dud
hbm:tile.fireworks, Firework Battery
hbm:tile.dynamite, Dynamite
hbm:tile.tnt_ntm, Actual TNT
hbm:tile.semtex, Semtex
hbm:tile.c4, C-4
hbm:tile.turret_light, Light Machine Gun Turret
hbm:tile.turret_heavy, Heavy Machine Gun Turret
hbm:tile.turret_rocket, Rocket Turret
hbm:tile.turret_flamer, Flamethrower Turret
hbm:tile.turret_tau, Tauon Turret
hbm:tile.turret_spitfire, Turret I have no name for right now [WIP]
hbm:tile.turret_cwis, Phalanx Mk-15 CIWS
hbm:tile.turret_cheapo, Cheapo Gatling Sentry
hbm:tile.turret_chekhov, Heavy Machine Gun Turret "Chekhov's Gun"
hbm:tile.turret_friendly, Chaingun Turret "Mister Friendly"
hbm:tile.turret_jeremy, Autocannon Turret "Jeremy"
hbm:tile.turret_tauon, XVL1456 Prototype Turret "Tauon"
hbm:tile.turret_richard, Rocket Launcher Turret "Richard"
hbm:tile.turret_howard, Goalkeeper Twin Chaingun CIWS "Howard"
hbm:tile.turret_howard_damaged, Goalkeeper Twin Chaingun CIWS "Methusalem"
hbm:tile.turret_maxwell, High-Energy MASER Turret "Maxwell"
hbm:tile.turret_fritz, Heavy Flamethrower Turret "Fritz"
hbm:tile.turret_brandon, tile.turret_brandon.name
hbm:tile.turret_arty, Artillery Turret "Greg"
hbm:tile.charge_dynamite, Time Bomb
hbm:tile.charge_miner, Timed Mining Charge
hbm:tile.charge_c4, Demolition Charge
hbm:tile.charge_semtex, Semtex Mining Charge
hbm:tile.mine_ap, Anti-Personell Mine
hbm:tile.mine_he, Anti-Tank Mine
hbm:tile.mine_shrap, Shrapnel Mine
hbm:tile.mine_fat, Fat Mine
hbm:tile.cel_prime, tile.cel_prime.name
hbm:tile.cel_prime_terminal, tile.cel_prime_terminal.name
hbm:tile.cel_prime_battery, tile.cel_prime_battery.name
hbm:tile.cel_prime_port, tile.cel_prime_port.name
hbm:tile.cel_prime_tanks, tile.cel_prime_tanks.name
hbm:tile.flame_war, Flame War in a Box
hbm:tile.float_bomb, Levitation Bomb
hbm:tile.therm_endo, Endothermic Bomb
hbm:tile.therm_exo, Exothermic Bomb
hbm:tile.emp_bomb, EMP Device
hbm:tile.det_cord, Det Cord
hbm:tile.det_charge, Explosive Charge
hbm:tile.det_nuke, Nuclear Charge
hbm:tile.det_miner, Mining Charge
hbm:tile.red_barrel, Explosive Barrel
hbm:tile.pink_barrel, Kerosene Barrel
hbm:tile.lox_barrel, LOX Barrel
hbm:tile.taint_barrel, IMP Residue Barrel
hbm:tile.yellow_barrel, Radioactive Barrel
hbm:tile.vitrified_barrel, Vitrified Nuclear Waste Drum
hbm:tile.machine_siren, Siren
hbm:tile.broadcaster_pc, Corrupted Broadcaster
hbm:tile.geiger, Geiger Counter
hbm:tile.hev_battery, Suit Battery
hbm:tile.fence_metal, Chainlink Fence
hbm:tile.ash_digamma, Ash
hbm:tile.sand_boron, Boron Sand
hbm:tile.sand_lead, Lead Sand
hbm:tile.sand_uranium, Uranium Sand
hbm:tile.sand_polonium, Polonium Sand
hbm:tile.sand_quartz, Quartz Sand
hbm:tile.sand_gold, Gold Sand
hbm:tile.sand_gold198, Gold-198 Sand
hbm:tile.glass_boron, Boron Glass
hbm:tile.glass_lead, Lead Glass
hbm:tile.glass_uranium, Uranium Glass
hbm:tile.glass_trinitite, Trinity Glass
hbm:tile.glass_polonium, Polonium Glass
hbm:tile.glass_ash, Ash Glass
hbm:tile.glass_quartz, Quartz Glass
hbm:tile.seal_frame, Silo Hatch Frame
hbm:tile.seal_controller, Silo Hatch Opener
hbm:tile.seal_hatch, Silo Hatch
hbm:tile.vault_door, Vault-Tec Blast Door
hbm:tile.blast_door, Sliding Blast Door
hbm:tile.fire_door, Fire Door
hbm:tile.transition_seal, Transition Seal
hbm:tile.door_metal, tile.door_metal.name
hbm:tile.door_office, tile.door_office.name
hbm:tile.door_bunker, tile.door_bunker.name
hbm:tile.crate_iron, Iron Crate
hbm:tile.crate_steel, Steel Crate
hbm:tile.crate_desh, Desh Crate
hbm:tile.crate_tungsten, Tungsten Crate
hbm:tile.safe, Safe
hbm:tile.mass_storage:0, Mass Storage Unit
hbm:tile.mass_storage:1, Mass Storage Unit
hbm:tile.mass_storage:2, Mass Storage Unit
hbm:tile.boxcar, Boxcar
hbm:tile.boat, Boat
hbm:tile.bomber, Crashed Bomber
hbm:tile.machine_autocrafter, Automatic Crafting Table
hbm:tile.anvil_iron, Iron Anvil
hbm:tile.anvil_lead, Lead Anvil
hbm:tile.anvil_steel, Steel Anvil
hbm:tile.anvil_meteorite, Meteorite Anvil
hbm:tile.anvil_starmetal, Starmetal Anvil
hbm:tile.anvil_ferrouranium, Ferrouranium Anvil
hbm:tile.anvil_bismuth, Bismuth Anvil
hbm:tile.anvil_schrabidate, Ferric Schrabidate Anvil
hbm:tile.anvil_dnt, Dineutronium Anvil
hbm:tile.anvil_osmiridium, Osmiridium Anvil
hbm:tile.anvil_murky, Murky Anvil
hbm:tile.press_preheater, Burner Press Preheater
hbm:tile.machine_press, Burner Press
hbm:tile.machine_epress, Electric Press
hbm:tile.heater_firebox, Firebox
hbm:tile.heater_oilburner, Fluid Burner
hbm:tile.furnace_iron, Iron Furnace
hbm:tile.furnace_steel, Steel Furnace
hbm:tile.machine_stirling, Stirling Engine
hbm:tile.machine_difurnace_off, Blast Furnace
hbm:tile.machine_difurnace_on, Blast Furnace
hbm:tile.machine_difurnace_rtg_off, Nuclear Blast Furnace
hbm:tile.machine_difurnace_rtg_on, Nuclear Blast Furnace
hbm:tile.machine_centrifuge, Centrifuge
hbm:tile.machine_gascent, Gas Centrifuge
hbm:tile.machine_fel, FEL
hbm:tile.machine_silex, Laser Isotope Separation Chamber (SILEX)
hbm:tile.machine_crystallizer, Ore Acidizer
hbm:tile.machine_uf6_tank, Uranium Hexafluoride Tank
hbm:tile.machine_puf6_tank, Plutonium Hexafluoride Tank
hbm:tile.machine_reactor, Breeding Reactor
hbm:tile.machine_nuke_furnace_off, Nuclear Furnace
hbm:tile.machine_nuke_furnace_on, Nuclear Furnace
hbm:tile.machine_rtg_furnace_off, RTG Furnace
hbm:tile.machine_rtg_furnace_on, RTG Furnace
hbm:tile.machine_coal_off, Combustion Generator
hbm:tile.machine_coal_on, Combustion Generator
hbm:tile.machine_diesel, Diesel Generator
hbm:tile.machine_selenium, Radial Performance Engine
hbm:tile.machine_generator, Nuclear Reactor (Old)
hbm:tile.machine_controller, Reactor Remote Control Block
hbm:tile.machine_reactor_small, Research Reactor
hbm:tile.machine_zirnox, ZIRNOX Nuclear Reactor
hbm:tile.zirnox_destroyed, Destroyed ZINROX
hbm:tile.machine_industrial_generator, Industrial Generator
hbm:tile.machine_radgen, Radiation-Powered Engine
hbm:tile.machine_cyclotron, Cyclotron
hbm:tile.machine_rtg_grey, RT Generator
hbm:tile.machine_geo, Geothermal Electric Generator
hbm:tile.machine_amgen, Ambience Radiation Generator
hbm:tile.machine_minirtg, Radio Isotope Cell
hbm:tile.machine_powerrtg, PT Isotope Cell
hbm:tile.machine_radiolysis, Radioisotope Thermoelectric Generator and Radiolysis Chamber
hbm:tile.machine_spp_bottom, ZPE Potential Generator (Bottom)
hbm:tile.machine_spp_top, ZPE Potential Generator (Top)
hbm:tile.hadron_plating, Particle Accelerator Plating
hbm:tile.hadron_plating_blue, Particle Accelerator Plating (Blue)
hbm:tile.hadron_plating_black, Particle Accelerator Plating (Black)
hbm:tile.hadron_plating_yellow, Particle Accelerator Plating (YelloDye)
hbm:tile.hadron_plating_striped, Particle Accelerator Plating (Cool Hazard Stripes)
hbm:tile.hadron_plating_glass, Particle Accelerator Plating (Window)
hbm:tile.hadron_plating_voltz, Particle Accelerator Plating (VOLTZ)
hbm:tile.hadron_coil_alloy, Dense Superconducting Coil
hbm:tile.hadron_coil_gold, Dense Gold Coil
hbm:tile.hadron_coil_neodymium, Dense Neodymium Coil
hbm:tile.hadron_coil_magtung, Dense 4000K Superconductor Coil
hbm:tile.hadron_coil_schrabidium, Dense Schrabidic Coil
hbm:tile.hadron_coil_schrabidate, Dense Schrabidate Coil
hbm:tile.hadron_coil_starmetal, Dense Starmetal Coil
hbm:tile.hadron_coil_chlorophyte, Dense Chlorophyte Coil
hbm:tile.hadron_coil_mese, Dense Mese Coil
hbm:tile.hadron_power, Particle Accelerator Power Plug (1MHE)
hbm:tile.hadron_power_10m, Particle Accelerator Power Plug (10MHE)
hbm:tile.hadron_power_100m, Particle Accelerator Power Plug (100MHE)
hbm:tile.hadron_power_1g, Particle Accelerator Power Plug (1GHE)
hbm:tile.hadron_power_10g, Particle Accelerator Power Plug (10GHE)
hbm:tile.hadron_diode, Schottky Particle Diode
hbm:tile.hadron_analysis, Particle Accelerator Analysis Chamber Wall
hbm:tile.hadron_analysis_glass, Particle Accelerator Analysis Chamber Window
hbm:tile.hadron_access, Particle Accelerator Access Terminal
hbm:tile.hadron_core, Particle Accelerator Core Component
hbm:tile.rbmk_rod, RBMK Fuel Rod
hbm:tile.rbmk_rod_mod, RBMK Moderated Fuel Rod
hbm:tile.rbmk_rod_reasim, RBMK Fuel Rod (ReaSim)
hbm:tile.rbmk_rod_reasim_mod, RBMK Moderated Fuel Rod (ReaSim)
hbm:tile.rbmk_control, RBMK Control Rods
hbm:tile.rbmk_control_mod, RBMK Moderated Control Rods
hbm:tile.rbmk_control_auto, RBMK Automatic Control Rods
hbm:tile.rbmk_blank, RBMK Structural Column
hbm:tile.rbmk_boiler, RBMK Steam Channel
hbm:tile.rbmk_reflector, RBMK Tungsten Carbide Neutron Reflector
hbm:tile.rbmk_absorber, RBMK Boron Neutron Absorber
hbm:tile.rbmk_moderator, RBMK Graphite Moderator
hbm:tile.rbmk_outgasser, RBMK Irradiation Channel
hbm:tile.rbmk_storage, RBMK Storage Column
hbm:tile.rbmk_cooler, RBMK Cooler
hbm:tile.rbmk_heater, RBMK Fluid Heater
hbm:tile.rbmk_console, RBMK Console
hbm:tile.rbmk_crane_console, RBMK Crane Console
hbm:tile.rbmk_loader, RBMK Steam Connector
hbm:tile.rbmk_steam_inlet, RBMK ReaSim Water Inlet
hbm:tile.rbmk_steam_outlet, RBMK ReaSim Steam Outlet
hbm:tile.rbmk_heatex, RBMK Heat Exchanger
hbm:tile.pribris, RBMK Debris
hbm:tile.pribris_burning, Flaming RBMK Debris
hbm:tile.pribris_radiating, Smoldering RBMK Debris
hbm:tile.pribris_digamma, Blackened RBMK Debris
hbm:tile.red_cable, Red Copper Cable
hbm:tile.red_cable_classic, Red Copper Cable (Classic)
hbm:tile.red_wire_coated, Coated Red Copper Cable
hbm:tile.red_connector, Electricity Connector
hbm:tile.red_pylon, Electricity Pole
hbm:tile.red_pylon_large, Large Electricity Pylon
hbm:tile.substation, Substation
hbm:tile.cable_switch, Power Switch
hbm:tile.cable_detector, Redstone Power Switch
hbm:tile.cable_diode, Red Copper Diode
hbm:tile.machine_detector, Power Detector
hbm:tile.rf_cable, tile.rf_cable.name
hbm:tile.oil_duct, Oil Pipe
hbm:tile.oil_duct_solid, Coated Oil Pipe
hbm:tile.gas_duct, Gas Pipe
hbm:tile.gas_duct_solid, Coated Gas Pipe
hbm:tile.fluid_duct, Universal Fluid Duct
hbm:tile.fluid_duct_neo:0, tile.fluid_duct_neo.name
hbm:tile.fluid_duct_neo:1, tile.fluid_duct_neo.name
hbm:tile.fluid_duct_neo:2, tile.fluid_duct_neo.name
hbm:tile.fluid_duct_box:0, tile.fluid_duct_box.name
hbm:tile.fluid_duct_box:1, tile.fluid_duct_box.name
hbm:tile.fluid_duct_solid, Coated Universal Fluid Duct
hbm:tile.crane_extractor, Conveyor Ejector
hbm:tile.crane_inserter, Conveyor Inserter
hbm:tile.conveyor, Conveyor Belt
hbm:tile.conveyor_double, Double-Lane Conveyor Belt
hbm:tile.conveyor_triple, Triple-Lane Conveyor Belt
hbm:tile.conveyor_chute, Conveyor Chute
hbm:tile.conveyor_lift, Conveyor Chain Lift
hbm:tile.dungeon_chain, Metal Chain
hbm:tile.ladder_sturdy, Sturdy Wooden Ladder
hbm:tile.ladder_iron, Iron Ladder
hbm:tile.ladder_gold, Golden Ladder
